
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,172 K
Registry                       172 Services                   0     70,280 K
smss.exe                       624 Services                   0        968 K
csrss.exe                      920 Services                   0      6,412 K
wininit.exe                   1008 Services                   0      6,572 K
services.exe                   864 Services                   0      9,668 K
lsass.exe                      900 Services                   0     23,860 K
svchost.exe                   1132 Services                   0     32,368 K
fontdrvhost.exe               1160 Services                   0      3,456 K
svchost.exe                   1224 Services                   0     18,332 K
svchost.exe                   1272 Services                   0     10,448 K
svchost.exe                   1480 Services                   0     10,348 K
svchost.exe                   1476 Services                   0      8,076 K
svchost.exe                   1492 Services                   0     12,820 K
svchost.exe                   1640 Services                   0      9,936 K
svchost.exe                   1648 Services                   0     11,848 K
svchost.exe                   1740 Services                   0      6,264 K
svchost.exe                   1800 Services                   0     15,880 K
svchost.exe                   1828 Services                   0      7,960 K
svchost.exe                   1972 Services                   0      6,952 K
svchost.exe                   2040 Services                   0      7,844 K
svchost.exe                   1216 Services                   0     13,832 K
svchost.exe                    548 Services                   0      8,556 K
svchost.exe                   2192 Services                   0     11,560 K
svchost.exe                   2204 Services                   0     10,400 K
dasHost.exe                   2220 Services                   0     19,540 K
svchost.exe                   2264 Services                   0     16,264 K
svchost.exe                   2384 Services                   0     10,356 K
svchost.exe                   2440 Services                   0      5,628 K
NVDisplay.Container.exe       2592 Services                   0     30,008 K
svchost.exe                   2632 Services                   0      6,684 K
svchost.exe                   2780 Services                   0      5,648 K
svchost.exe                   2788 Services                   0     14,300 K
svchost.exe                   2796 Services                   0      7,000 K
Memory Compression            2900 Services                   0  1,999,428 K
svchost.exe                   2940 Services                   0      7,672 K
svchost.exe                   2968 Services                   0     20,228 K
svchost.exe                   2980 Services                   0      7,944 K
svchost.exe                   2988 Services                   0      8,872 K
WmiPrvSE.exe                  3400 Services                   0     30,588 K
svchost.exe                   3552 Services                   0      8,800 K
svchost.exe                   3592 Services                   0      7,212 K
svchost.exe                   3644 Services                   0      9,152 K
svchost.exe                   3888 Services                   0     15,580 K
svchost.exe                   4044 Services                   0     19,568 K
svchost.exe                   4084 Services                   0      6,516 K
svchost.exe                   4092 Services                   0      9,700 K
svchost.exe                   3572 Services                   0     18,572 K
svchost.exe                   4288 Services                   0     11,436 K
svchost.exe                   4304 Services                   0      9,948 K
svchost.exe                   4336 Services                   0     16,508 K
svchost.exe                   4472 Services                   0     13,592 K
spoolsv.exe                   4552 Services                   0     15,612 K
svchost.exe                   4820 Services                   0      8,584 K
svchost.exe                   4928 Services                   0      7,520 K
AppleMobileDeviceService.     4108 Services                   0     10,340 K
mDNSResponder.exe             4332 Services                   0      6,352 K
AdobeUpdateService.exe        4404 Services                   0      6,948 K
RazerCentralService.exe       4484 Services                   0     49,012 K
svchost.exe                   4480 Services                   0      7,052 K
remoting_host.exe             4544 Services                   0     10,100 K
svchost.exe                   3872 Services                   0     39,920 K
DTSAPO3Service.exe            3868 Services                   0      8,240 K
RtkBtManServ.exe              4916 Services                   0      6,508 K
RzSDKService.exe              2556 Services                   0      9,036 K
GameManagerService.exe        2540 Services                   0     26,644 K
RzSDKServer.exe               5144 Services                   0      9,008 K
svchost.exe                   5156 Services                   0     14,044 K
svchost.exe                   5164 Services                   0      5,936 K
SpokesUpdateService.exe       5172 Services                   0      7,880 K
svchost.exe                   5180 Services                   0      5,416 K
svchost.exe                   5188 Services                   0      6,832 K
MsMpEng.exe                   5196 Services                   0    264,420 K
svchost.exe                   5204 Services                   0     19,884 K
OfficeClickToRun.exe          5228 Services                   0     35,064 K
svchost.exe                   5236 Services                   0     34,544 K
nvcontainer.exe               5256 Services                   0     27,712 K
RemoteSystemMonitorServic     5332 Services                   0     17,448 K
MpDefenderCoreService.exe     5384 Services                   0     20,976 K
svchost.exe                   5776 Services                   0      5,124 K
remoting_host.exe             6312 Services                   0     20,152 K
svchost.exe                   6900 Services                   0     11,816 K
dllhost.exe                   5512 Services                   0     11,144 K
svchost.exe                   7320 Services                   0     23,392 K
